country,country_code,year,gdppc
Australia,AUS,1874,6113.0
Austria,AUT,1874,3158.0
Belgium,BEL,1874,4607.0
Cada,CAN,1874,2955.0
Switzerland,CHE,1874,3323.0
Czechoslovakia,CSK,1874,
Czech Republic,CZE,1874,
Denmark,DNK,1874,3341.0
United Kingdom,GBR,1874,5874.0
Hungary,HUN,1874,
Italy,ITA,1874,2715.0
Japan,JPN,1874,1607.0
Netherlands,NLD,1874,4337.0
Poland,POL,1874,1682.0
Russian Federation,RUS,1874,
Sweden,SWE,1874,2370.0
United States,USA,1874,4965.0
Australia,AUS,1875,6596.0
Austria,AUT,1875,3145.0
Belgium,BEL,1875,4560.0
Cada,CAN,1875,2844.0
Switzerland,CHE,1875,3599.0
Czechoslovakia,CSK,1875,
Czech Republic,CZE,1875,
Denmark,DNK,1875,3366.0
United Kingdom,GBR,1875,5950.0
Hungary,HUN,1875,
Italy,ITA,1875,2727.0
Japan,JPN,1875,
Netherlands,NLD,1875,4584.0
Poland,POL,1875,1686.0
Russian Federation,RUS,1875,
Sweden,SWE,1875,2286.0
United States,USA,1875,5105.0
Australia,AUS,1876,6387.0
Austria,AUT,1876,3188.0
Belgium,BEL,1876,4583.0
Cada,CAN,1876,2616.0
Switzerland,CHE,1876,3852.0
Czechoslovakia,CSK,1876,
Czech Republic,CZE,1876,
Denmark,DNK,1876,3395.0
United Kingdom,GBR,1876,5938.0
Hungary,HUN,1876,
Italy,ITA,1876,2662.0
Japan,JPN,1876,
Netherlands,NLD,1876,4595.0
Poland,POL,1876,1733.0
Russian Federation,RUS,1876,
Sweden,SWE,1876,2431.0
United States,USA,1876,5050.0
Australia,AUS,1877,6433.0
Austria,AUT,1877,3268.0
Belgium,BEL,1877,4597.0
Cada,CAN,1877,2753.0
Switzerland,CHE,1877,3630.0
Czechoslovakia,CSK,1877,
Czech Republic,CZE,1877,
Denmark,DNK,1877,3261.0
United Kingdom,GBR,1877,5923.0
Hungary,HUN,1877,
Italy,ITA,1877,2678.0
Japan,JPN,1877,
Netherlands,NLD,1877,4651.0
Poland,POL,1877,1761.0
Russian Federation,RUS,1877,
Sweden,SWE,1877,2377.0
United States,USA,1877,5099.0
Australia,AUS,1878,6817.0
Austria,AUT,1878,3347.0
Belgium,BEL,1878,4689.0
Cada,CAN,1878,2609.0
Switzerland,CHE,1878,3486.0
Czechoslovakia,CSK,1878,
Czech Republic,CZE,1878,
Denmark,DNK,1878,3351.0
United Kingdom,GBR,1878,5879.0
Hungary,HUN,1878,
Italy,ITA,1878,2745.0
Japan,JPN,1878,
Netherlands,NLD,1878,4637.0
Poland,POL,1878,1800.0
Russian Federation,RUS,1878,
Sweden,SWE,1878,2291.0
United States,USA,1878,5199.0
Australia,AUS,1879,6703.0
Austria,AUT,1879,3296.0
Belgium,BEL,1879,4694.0
Cada,CAN,1879,2813.0
Switzerland,CHE,1879,3509.0
Czechoslovakia,CSK,1879,
Czech Republic,CZE,1879,
Denmark,DNK,1879,3425.0
United Kingdom,GBR,1879,5786.0
Hungary,HUN,1879,
Italy,ITA,1879,2753.0
Japan,JPN,1879,
Netherlands,NLD,1879,4414.0
Poland,POL,1879,1835.0
Russian Federation,RUS,1879,
Sweden,SWE,1879,2416.0
United States,USA,1879,5716.0
Australia,AUS,1880,6830.0
Austria,AUT,1880,3314.0
Belgium,BEL,1880,4886.0
Cada,CAN,1880,2895.0
Switzerland,CHE,1880,3869.0
Czechoslovakia,CSK,1880,
Czech Republic,CZE,1880,
Denmark,DNK,1880,3476.0
United Kingdom,GBR,1880,5997.0
Hungary,HUN,1880,
Italy,ITA,1880,2796.0
Japan,JPN,1880,
Netherlands,NLD,1880,4666.0
Poland,POL,1880,1886.0
Russian Federation,RUS,1880,
Sweden,SWE,1880,2359.0
United States,USA,1880,6256.0
Australia,AUS,1881,7101.0
Austria,AUT,1881,3419.0
Belgium,BEL,1881,4894.0
Cada,CAN,1881,3252.0
Switzerland,CHE,1881,3943.0
Czechoslovakia,CSK,1881,
Czech Republic,CZE,1881,
Denmark,DNK,1881,3480.0
United Kingdom,GBR,1881,6146.0
Hungary,HUN,1881,
Italy,ITA,1881,2880.0
Japan,JPN,1881,
Netherlands,NLD,1881,4694.0
Poland,POL,1881,1927.0
Russian Federation,RUS,1881,
Sweden,SWE,1881,2444.0
United States,USA,1881,6317.0
Australia,AUS,1882,6476.0
Austria,AUT,1882,3411.0
Belgium,BEL,1882,4999.0
Cada,CAN,1882,3362.0
Switzerland,CHE,1882,3999.0
Czechoslovakia,CSK,1882,
Czech Republic,CZE,1882,
Denmark,DNK,1882,3571.0
United Kingdom,GBR,1882,6269.0
Hungary,HUN,1882,
Italy,ITA,1882,2915.0
Japan,JPN,1882,
Netherlands,NLD,1882,4758.0
Poland,POL,1882,1978.0
Russian Federation,RUS,1882,
Sweden,SWE,1882,2354.0
United States,USA,1882,6558.0
Australia,AUS,1883,7133.0
Austria,AUT,1883,3521.0
Belgium,BEL,1883,5013.0
Cada,CAN,1883,3331.0
Switzerland,CHE,1883,4194.0
Czechoslovakia,CSK,1883,
Czech Republic,CZE,1883,
Denmark,DNK,1883,3665.0
United Kingdom,GBR,1883,6264.0
Hungary,HUN,1883,
Italy,ITA,1883,2942.0
Japan,JPN,1883,
Netherlands,NLD,1883,5053.0
Poland,POL,1883,2026.0
Russian Federation,RUS,1883,
Sweden,SWE,1883,2531.0
United States,USA,1883,6559.0
Australia,AUS,1884,6861.0
Austria,AUT,1884,3583.0
Belgium,BEL,1884,4999.0
Cada,CAN,1884,3556.0
Switzerland,CHE,1884,4542.0
Czechoslovakia,CSK,1884,
Czech Republic,CZE,1884,
Denmark,DNK,1884,3642.0
United Kingdom,GBR,1884,6220.0
Hungary,HUN,1884,
Italy,ITA,1884,2898.0
Japan,JPN,1884,
Netherlands,NLD,1884,5085.0
Poland,POL,1884,2056.0
Russian Federation,RUS,1884,
Sweden,SWE,1884,2477.0
United States,USA,1884,6523.0
Australia,AUS,1885,7049.0
Austria,AUT,1885,3531.0
Belgium,BEL,1885,5002.0
Cada,CAN,1885,3304.0
Switzerland,CHE,1885,4773.0
Czechoslovakia,CSK,1885,
Czech Republic,CZE,1885,
Denmark,DNK,1885,3625.0
United Kingdom,GBR,1885,6132.0
Hungary,HUN,1885,
Italy,ITA,1885,2941.0
Japan,JPN,1885,1729.0
Netherlands,NLD,1885,5137.0
Poland,POL,1885,2083.0
Russian Federation,RUS,1885,
Sweden,SWE,1885,2522.0
United States,USA,1885,6424.0
Australia,AUS,1886,6900.0
Austria,AUT,1886,3615.0
Belgium,BEL,1886,5026.0
Cada,CAN,1886,3308.0
Switzerland,CHE,1886,5037.0
Czechoslovakia,CSK,1886,
Czech Republic,CZE,1886,
Denmark,DNK,1886,3724.0
United Kingdom,GBR,1886,6170.0
Hungary,HUN,1886,
Italy,ITA,1886,3005.0
Japan,JPN,1886,1832.0
Netherlands,NLD,1886,5157.0
Poland,POL,1886,2091.0
Russian Federation,RUS,1886,
Sweden,SWE,1886,2547.0
United States,USA,1886,6472.0
Australia,AUS,1887,7383.0
Austria,AUT,1887,3832.0
Belgium,BEL,1887,5180.0
Cada,CAN,1887,3379.0
Switzerland,CHE,1887,5172.0
Czechoslovakia,CSK,1887,
Czech Republic,CZE,1887,
Denmark,DNK,1887,3818.0
United Kingdom,GBR,1887,6358.0
Hungary,HUN,1887,
Italy,ITA,1887,3081.0
Japan,JPN,1887,1848.0
Netherlands,NLD,1887,5223.0
Poland,POL,1887,2087.0
Russian Federation,RUS,1887,
Sweden,SWE,1887,2471.0
United States,USA,1887,6617.0
Australia,AUS,1888,7179.0
Austria,AUT,1888,3792.0
Belgium,BEL,1888,5176.0
Cada,CAN,1888,3585.0
Switzerland,CHE,1888,5119.0
Czechoslovakia,CSK,1888,
Czech Republic,CZE,1888,
Denmark,DNK,1888,3808.0
United Kingdom,GBR,1888,6585.0
Hungary,HUN,1888,
Italy,ITA,1888,3065.0
Japan,JPN,1888,1724.0
Netherlands,NLD,1888,5231.0
Poland,POL,1888,2120.0
Russian Federation,RUS,1888,
Sweden,SWE,1888,2511.0
United States,USA,1888,6447.0
Australia,AUS,1889,7567.0
Austria,AUT,1889,3725.0
Belgium,BEL,1889,5386.0
Cada,CAN,1889,3569.0
Switzerland,CHE,1889,5137.0
Czechoslovakia,CSK,1889,
Czech Republic,CZE,1889,
Denmark,DNK,1889,3826.0
United Kingdom,GBR,1889,6876.0
Hungary,HUN,1889,
Italy,ITA,1889,2971.0
Japan,JPN,1889,1755.0
Netherlands,NLD,1889,5349.0
Poland,POL,1889,2161.0
Russian Federation,RUS,1889,
Sweden,SWE,1889,2549.0
United States,USA,1889,6706.0
Australia,AUS,1890,7106.0
Austria,AUT,1890,3894.0
Belgium,BEL,1890,5464.0
Cada,CAN,1890,3790.0
Switzerland,CHE,1890,5309.0
Czechoslovakia,CSK,1890,2399.0
Czech Republic,CZE,1890,
Denmark,DNK,1890,4022.0
United Kingdom,GBR,1890,6845.0
Hungary,HUN,1890,2348.0
Italy,ITA,1890,2974.0
Japan,JPN,1890,1854.0
Netherlands,NLD,1890,5078.0
Poland,POL,1890,2204.0
Russian Federation,RUS,1890,
Sweden,SWE,1890,2606.0
United States,USA,1890,6665.0
Australia,AUS,1891,7438.0
Austria,AUT,1891,3995.0
Belgium,BEL,1891,5412.0
Cada,CAN,1891,3840.0
Switzerland,CHE,1891,4937.0
Czechoslovakia,CSK,1891,
Czech Republic,CZE,1891,
Denmark,DNK,1891,4073.0
United Kingdom,GBR,1891,6781.0
Hungary,HUN,1891,
Italy,ITA,1891,3014.0
Japan,JPN,1891,1750.0
Netherlands,NLD,1891,5035.0
Poland,POL,1891,2235.0
Russian Federation,RUS,1891,
Sweden,SWE,1891,2748.0
United States,USA,1891,6811.0
Australia,AUS,1892,6368.0
Austria,AUT,1892,4041.0
Belgium,BEL,1892,5486.0
Cada,CAN,1892,3779.0
Switzerland,CHE,1892,5270.0
Czechoslovakia,CSK,1892,
Czech Republic,CZE,1892,
Denmark,DNK,1892,4141.0
United Kingdom,GBR,1892,6553.0
Hungary,HUN,1892,
Italy,ITA,1892,3017.0
Japan,JPN,1892,1842.0
Netherlands,NLD,1892,5131.0
Poland,POL,1892,2276.0
Russian Federation,RUS,1892,
Sweden,SWE,1892,2713.0
United States,USA,1892,7324.0
Australia,AUS,1893,5910.0
Austria,AUT,1893,4025.0
Belgium,BEL,1893,5507.0
Cada,CAN,1893,3720.0
Switzerland,CHE,1893,5340.0
Czechoslovakia,CSK,1893,
Czech Republic,CZE,1893,
Denmark,DNK,1893,4191.0
United Kingdom,GBR,1893,6486.0
Hungary,HUN,1893,
Italy,ITA,1893,3064.0
Japan,JPN,1893,1832.0
Netherlands,NLD,1893,5019.0
Poland,POL,1893,2311.0
Russian Federation,RUS,1893,
Sweden,SWE,1893,2778.0
United States,USA,1893,6834.0
Australia,AUS,1894,6003.0
Austria,AUT,1894,4216.0
Belgium,BEL,1894,5528.0
Cada,CAN,1894,3857.0
Switzerland,CHE,1894,5337.0
Czechoslovakia,CSK,1894,
Czech Republic,CZE,1894,
Denmark,DNK,1894,4235.0
United Kingdom,GBR,1894,6851.0
Hungary,HUN,1894,
Italy,ITA,1894,3081.0
Japan,JPN,1894,2016.0
Netherlands,NLD,1894,5247.0
Poland,POL,1894,2340.0
Russian Federation,RUS,1894,
Sweden,SWE,1894,2791.0
United States,USA,1894,6510.0
Australia,AUS,1895,5558.0
Austria,AUT,1895,4285.0
Belgium,BEL,1895,5598.0
Cada,CAN,1895,3779.0
Switzerland,CHE,1895,5632.0
Czechoslovakia,CSK,1895,
Czech Republic,CZE,1895,
Denmark,DNK,1895,4415.0
United Kingdom,GBR,1895,6996.0
Hungary,HUN,1895,
Italy,ITA,1895,3107.0
Japan,JPN,1895,2022.0
Netherlands,NLD,1895,5212.0
Poland,POL,1895,2364.0
Russian Federation,RUS,1895,
Sweden,SWE,1895,2927.0
United States,USA,1895,7160.0
Australia,AUS,1896,5874.0
Austria,AUT,1896,4305.0
Belgium,BEL,1896,5660.0
Cada,CAN,1896,3647.0
Switzerland,CHE,1896,5967.0
Czechoslovakia,CSK,1896,
Czech Republic,CZE,1896,
Denmark,DNK,1896,4521.0
United Kingdom,GBR,1896,7211.0
Hungary,HUN,1896,
Italy,ITA,1896,3153.0
Japan,JPN,1896,1904.0
Netherlands,NLD,1896,5359.0
Poland,POL,1896,2415.0
Russian Federation,RUS,1896,
Sweden,SWE,1896,3003.0
United States,USA,1896,6886.0
Australia,AUS,1897,5451.0
Austria,AUT,1897,4352.0
Belgium,BEL,1897,5716.0
Cada,CAN,1897,4004.0
Switzerland,CHE,1897,6242.0
Czechoslovakia,CSK,1897,
Czech Republic,CZE,1897,
Denmark,DNK,1897,4564.0
United Kingdom,GBR,1897,7229.0
Hungary,HUN,1897,
Italy,ITA,1897,3158.0
Japan,JPN,1897,1905.0
Netherlands,NLD,1897,5421.0
Poland,POL,1897,2477.0
Russian Federation,RUS,1897,
Sweden,SWE,1897,3121.0
United States,USA,1897,7406.0
Australia,AUS,1898,6202.0
Austria,AUT,1898,4551.0
Belgium,BEL,1898,5762.0
Cada,CAN,1898,4117.0
Switzerland,CHE,1898,6428.0
Czechoslovakia,CSK,1898,
Czech Republic,CZE,1898,
Denmark,DNK,1898,4575.0
United Kingdom,GBR,1898,7500.0
Hungary,HUN,1898,
Italy,ITA,1898,3145.0
Japan,JPN,1898,2233.0
Netherlands,NLD,1898,5431.0
Poland,POL,1898,2546.0
Russian Federation,RUS,1898,
Sweden,SWE,1898,3228.0
United States,USA,1898,7427.0
Australia,AUS,1899,6121.0
Austria,AUT,1899,4600.0
Belgium,BEL,1899,5828.0
Cada,CAN,1899,4457.0
Switzerland,CHE,1899,6337.0
Czechoslovakia,CSK,1899,
Czech Republic,CZE,1899,
Denmark,DNK,1899,4705.0
United Kingdom,GBR,1899,7729.0
Hungary,HUN,1899,
Italy,ITA,1899,3180.0
Japan,JPN,1899,2105.0
Netherlands,NLD,1899,5435.0
Poland,POL,1899,2630.0
Russian Federation,RUS,1899,
Sweden,SWE,1899,3308.0
United States,USA,1899,7959.0
Australia,AUS,1900,6397.0
Austria,AUT,1900,4594.0
Belgium,BEL,1900,5947.0
Cada,CAN,1900,4640.0
Switzerland,CHE,1900,6612.0
Czechoslovakia,CSK,1900,2756.0
Czech Republic,CZE,1900,
Denmark,DNK,1900,4809.0
United Kingdom,GBR,1900,7594.0
Hungary,HUN,1900,2681.0
Italy,ITA,1900,3264.0
Japan,JPN,1900,2123.0
Netherlands,NLD,1900,5306.0
Poland,POL,1900,2700.0
Russian Federation,RUS,1900,
Sweden,SWE,1900,3320.0
United States,USA,1900,8038.0
Australia,AUS,1901,6119.0
Austria,AUT,1901,4565.0
Belgium,BEL,1901,5928.0
Cada,CAN,1901,4937.0
Switzerland,CHE,1901,6399.0
Czechoslovakia,CSK,1901,
Czech Republic,CZE,1901,
Denmark,DNK,1901,4948.0
United Kingdom,GBR,1901,7516.0
Hungary,HUN,1901,
Italy,ITA,1901,3317.0
Japan,JPN,1901,2162.0
Netherlands,NLD,1901,5483.0
Poland,POL,1901,
Russian Federation,RUS,1901,
Sweden,SWE,1901,3406.0
United States,USA,1901,8770.0
Australia,AUS,1902,6094.0
Austria,AUT,1902,4694.0
Belgium,BEL,1902,5960.0
Cada,CAN,1902,5310.0
Switzerland,CHE,1902,6616.0
Czechoslovakia,CSK,1902,
Czech Republic,CZE,1902,
Denmark,DNK,1902,5007.0
United Kingdom,GBR,1902,7635.0
Hungary,HUN,1902,
Italy,ITA,1902,3371.0
Japan,JPN,1902,2013.0
Netherlands,NLD,1902,5630.0
Poland,POL,1902,
Russian Federation,RUS,1902,
Sweden,SWE,1902,3362.0
United States,USA,1902,8684.0
Australia,AUS,1903,6497.0
Austria,AUT,1903,4688.0
Belgium,BEL,1903,6013.0
Cada,CAN,1903,5314.0
Switzerland,CHE,1903,6472.0
Czechoslovakia,CSK,1903,
Czech Republic,CZE,1903,
Denmark,DNK,1903,5244.0
United Kingdom,GBR,1903,7482.0
Hungary,HUN,1903,
Italy,ITA,1903,3402.0
Japan,JPN,1903,2204.0
Netherlands,NLD,1903,5544.0
Poland,POL,1903,
Russian Federation,RUS,1903,
Sweden,SWE,1903,3539.0
United States,USA,1903,8941.0
Australia,AUS,1904,6846.0
Austria,AUT,1904,4712.0
Belgium,BEL,1904,6091.0
Cada,CAN,1904,5228.0
Switzerland,CHE,1904,6880.0
Czechoslovakia,CSK,1904,
Czech Republic,CZE,1904,
Denmark,DNK,1904,5302.0
United Kingdom,GBR,1904,7455.0
Hungary,HUN,1904,
Italy,ITA,1904,3461.0
Japan,JPN,1904,2179.0
Netherlands,NLD,1904,5541.0
Poland,POL,1904,
Russian Federation,RUS,1904,
Sweden,SWE,1904,3599.0
United States,USA,1904,8664.0
Australia,AUS,1905,6825.0
Austria,AUT,1905,4925.0
Belgium,BEL,1905,6188.0
Cada,CAN,1905,5678.0
Switzerland,CHE,1905,7185.0
Czechoslovakia,CSK,1905,
Czech Republic,CZE,1905,
Denmark,DNK,1905,5333.0
United Kingdom,GBR,1905,7603.0
Hungary,HUN,1905,
Italy,ITA,1905,3532.0
Japan,JPN,1905,2111.0
Netherlands,NLD,1905,5735.0
Poland,POL,1905,
Russian Federation,RUS,1905,
Sweden,SWE,1905,3547.0
United States,USA,1905,9121.0
Australia,AUS,1906,7184.0
Austria,AUT,1906,5062.0
Belgium,BEL,1906,6244.0
Cada,CAN,1906,6130.0
Switzerland,CHE,1906,7584.0
Czechoslovakia,CSK,1906,
Czech Republic,CZE,1906,
Denmark,DNK,1906,5423.0
United Kingdom,GBR,1906,7782.0
Hungary,HUN,1906,
Italy,ITA,1906,3652.0
Japan,JPN,1906,2329.0
Netherlands,NLD,1906,5770.0
Poland,POL,1906,
Russian Federation,RUS,1906,
Sweden,SWE,1906,3830.0
United States,USA,1906,9980.0
Australia,AUS,1907,7358.0
Austria,AUT,1907,5321.0
Belgium,BEL,1907,6268.0
Cada,CAN,1907,6177.0
Switzerland,CHE,1907,7465.0
Czechoslovakia,CSK,1907,
Czech Republic,CZE,1907,
Denmark,DNK,1907,5557.0
United Kingdom,GBR,1907,7855.0
Hungary,HUN,1907,
Italy,ITA,1907,3716.0
Japan,JPN,1907,2358.0
Netherlands,NLD,1907,5592.0
Poland,POL,1907,
Russian Federation,RUS,1907,
Sweden,SWE,1907,4085.0
United States,USA,1907,9951.0
Australia,AUS,1908,7481.0
Austria,AUT,1908,5292.0
Belgium,BEL,1908,6269.0
Cada,CAN,1908,5694.0
Switzerland,CHE,1908,7508.0
Czechoslovakia,CSK,1908,
Czech Republic,CZE,1908,
Denmark,DNK,1908,5662.0
United Kingdom,GBR,1908,7461.0
Hungary,HUN,1908,
Italy,ITA,1908,3795.0
Japan,JPN,1908,2357.0
Netherlands,NLD,1908,5628.0
Poland,POL,1908,
Russian Federation,RUS,1908,
Sweden,SWE,1908,3959.0
United States,USA,1908,8976.0
Australia,AUS,1909,7940.0
Austria,AUT,1909,5222.0
Belgium,BEL,1909,6330.0
Cada,CAN,1909,6137.0
Switzerland,CHE,1909,7858.0
Czechoslovakia,CSK,1909,
Czech Republic,CZE,1909,
Denmark,DNK,1909,5807.0
United Kingdom,GBR,1909,7557.0
Hungary,HUN,1909,
Italy,ITA,1909,3826.0
Japan,JPN,1909,2333.0
Netherlands,NLD,1909,5852.0
Poland,POL,1909,
Russian Federation,RUS,1909,
Sweden,SWE,1909,3980.0
United States,USA,1909,9798.0
Australia,AUS,1910,8305.0
Austria,AUT,1910,5244.0
Belgium,BEL,1910,6478.0
Cada,CAN,1910,6481.0
Switzerland,CHE,1910,8048.0
Czechoslovakia,CSK,1910,3174.0
Czech Republic,CZE,1910,
Denmark,DNK,1910,5906.0
United Kingdom,GBR,1910,7718.0
Hungary,HUN,1910,3188.0
Italy,ITA,1910,3829.0
Japan,JPN,1910,2317.0
Netherlands,NLD,1910,6030.0
Poland,POL,1910,2694.0
Russian Federation,RUS,1910,
Sweden,SWE,1910,4053.0
United States,USA,1910,9637.0
Australia,AUS,1911,8136.0
Austria,AUT,1911,5364.0
Belgium,BEL,1911,6612.0
Cada,CAN,1911,6715.0
Switzerland,CHE,1911,8044.0
Czechoslovakia,CSK,1911,
Czech Republic,CZE,1911,
Denmark,DNK,1911,6148.0
United Kingdom,GBR,1911,7874.0
Hungary,HUN,1911,
Italy,ITA,1911,3870.0
Japan,JPN,1911,2400.0
Netherlands,NLD,1911,6158.0
Poland,POL,1911,
Russian Federation,RUS,1911,
Sweden,SWE,1911,4154.0
United States,USA,1911,9736.0
Australia,AUS,1912,8126.0
Austria,AUT,1912,5587.0
Belgium,BEL,1912,6704.0
Cada,CAN,1912,6977.0
Switzerland,CHE,1912,8312.0
Czechoslovakia,CSK,1912,
Czech Republic,CZE,1912,
Denmark,DNK,1912,6076.0
United Kingdom,GBR,1912,7954.0
Hungary,HUN,1912,
Italy,ITA,1912,3875.0
Japan,JPN,1912,2420.0
Netherlands,NLD,1912,6245.0
Poland,POL,1912,
Russian Federation,RUS,1912,
Sweden,SWE,1912,4312.0
United States,USA,1912,9977.0
Australia,AUS,1913,8220.0
Austria,AUT,1913,5523.0
Belgium,BEL,1913,6727.0
Cada,CAN,1913,7088.0
Switzerland,CHE,1913,8172.0
Czechoslovakia,CSK,1913,3341.0
Czech Republic,CZE,1913,
Denmark,DNK,1913,6236.0
United Kingdom,GBR,1913,8212.0
Hungary,HUN,1913,3344.0
Italy,ITA,1913,4057.0
Japan,JPN,1913,2431.0
Netherlands,NLD,1913,6454.0
Poland,POL,1913,2772.0
Russian Federation,RUS,1913,
Sweden,SWE,1913,4581.0
United States,USA,1913,10108.0
Australia,AUS,1914,8013.0
Austria,AUT,1914,4584.0
Belgium,BEL,1914,6253.0
Cada,CAN,1914,6416.0
Switzerland,CHE,1914,7595.0
Czechoslovakia,CSK,1914,
Czech Republic,CZE,1914,
Denmark,DNK,1914,6551.0
United Kingdom,GBR,1914,8131.0
Hungary,HUN,1914,
Italy,ITA,1914,3835.0
Japan,JPN,1914,2358.0
Netherlands,NLD,1914,6166.0
Poland,POL,1914,
Russian Federation,RUS,1914,
Sweden,SWE,1914,4678.0
United States,USA,1914,9096.0
Australia,AUS,1915,7806.0
Austria,AUT,1915,4229.0
Belgium,BEL,1915,6150.0
Cada,CAN,1915,6747.0
Switzerland,CHE,1915,7459.0
Czechoslovakia,CSK,1915,
Czech Republic,CZE,1915,
Denmark,DNK,1915,6022.0
United Kingdom,GBR,1915,8639.0
Hungary,HUN,1915,
Italy,ITA,1915,3642.0
Japan,JPN,1915,2512.0
Netherlands,NLD,1915,6258.0
Poland,POL,1915,
Russian Federation,RUS,1915,
Sweden,SWE,1915,4841.0
United States,USA,1915,9164.0
Australia,AUS,1916,7775.0
Austria,AUT,1916,4189.0
Belgium,BEL,1916,6503.0
Cada,CAN,1916,7406.0
Switzerland,CHE,1916,8079.0
Czechoslovakia,CSK,1916,
Czech Republic,CZE,1916,
Denmark,DNK,1916,6202.0
United Kingdom,GBR,1916,8702.0
Hungary,HUN,1916,
Italy,ITA,1916,3942.0
Japan,JPN,1916,2829.0
Netherlands,NLD,1916,6306.0
Poland,POL,1916,
Russian Federation,RUS,1916,
Sweden,SWE,1916,5109.0
United States,USA,1916,10222.0
Australia,AUS,1917,7637.0
Austria,AUT,1917,4122.0
Belgium,BEL,1917,5609.0
Cada,CAN,1917,7653.0
Switzerland,CHE,1917,7841.0
Czechoslovakia,CSK,1917,
Czech Republic,CZE,1917,
Denmark,DNK,1917,5765.0
United Kingdom,GBR,1917,8665.0
Hungary,HUN,1917,
Italy,ITA,1917,3955.0
Japan,JPN,1917,2941.0
Netherlands,NLD,1917,5781.0
Poland,POL,1917,
Russian Federation,RUS,1917,
Sweden,SWE,1917,4799.0
United States,USA,1917,9769.0
Australia,AUS,1918,7336.0
Austria,AUT,1918,4073.0
Belgium,BEL,1918,4560.0
Cada,CAN,1918,7079.0
Switzerland,CHE,1918,7116.0
Czechoslovakia,CSK,1918,
Czech Republic,CZE,1918,
Denmark,DNK,1918,5514.0
United Kingdom,GBR,1918,8630.0
Hungary,HUN,1918,
Italy,ITA,1918,3856.0
Japan,JPN,1918,2973.0
Netherlands,NLD,1918,5343.0
Poland,POL,1918,
Russian Federation,RUS,1918,
Sweden,SWE,1918,4434.0
United States,USA,1918,10471.0
Australia,AUS,1919,7517.0
Austria,AUT,1919,3601.0
Belgium,BEL,1919,5402.0
Cada,CAN,1919,6406.0
Switzerland,CHE,1919,6747.0
Czechoslovakia,CSK,1919,
Czech Republic,CZE,1919,
Denmark,DNK,1919,6153.0
United Kingdom,GBR,1919,7605.0
Hungary,HUN,1919,
Italy,ITA,1919,3701.0
Japan,JPN,1919,3219.0
Netherlands,NLD,1919,6570.0
Poland,POL,1919,
Russian Federation,RUS,1919,
Sweden,SWE,1919,4503.0
United States,USA,1919,10450.0
Australia,AUS,1920,7597.0
Austria,AUT,1920,3845.0
Belgium,BEL,1920,6315.0
Cada,CAN,1920,6154.0
Switzerland,CHE,1920,7364.0
Czechoslovakia,CSK,1920,3081.0
Czech Republic,CZE,1920,
Denmark,DNK,1920,6363.0
United Kingdom,GBR,1920,7017.0
Hungary,HUN,1920,2724.0
Italy,ITA,1920,3789.0
Japan,JPN,1920,2974.0
Netherlands,NLD,1920,6727.0
Poland,POL,1920,3000.0
Russian Federation,RUS,1920,
Sweden,SWE,1920,4788.0
United States,USA,1920,10153.0
Australia,AUS,1921,7828.0
