country_code,statisticalAreaCode,statisticalArea,year,agsh
DEU,DE23,"Oberpfalz, Regierungsbezirk",1910,0.636
DEU,DE24,"Oberfranken, Regierungsbezirk",1910,0.475
DEU,DE25,"Mittelfranken, Regierungsbezirk",1910,0.39
DEU,DE26,"Unterfranken, Regierungsbezirk",1910,0.587
DEU,DE27,"Schwaben, Regierungsbezirk",1910,0.535
DEU,DE30,Berlin,1910,0.014
DEU,DE40,Brandenburg,1910,0.26
DEU,DE50,Bremen,1910,0.07
DEU,DE60,Hamburg,1910,0.024
DEU,DE71+DE72,Darmstadt and Giessen,1910,0.269
DEU,DE73,"Kassel, Regierungsbezirk",1910,0.462
DEU,DE80,Mecklenburg-Vorpommern,1910,0.466
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1910,0.347
DEU,DE93,Statistische Region Lüneburg,1910,0.541
DEU,DE94,Statistische Region Weser-Ems,1910,0.52
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1910,0.101
DEU,DEA2,"Köln, Regierungsbezirk",1910,0.217
DEU,DEA3,"Münster, Regierungsbezirk",1910,0.293
DEU,DEA4,"Detmold, Regierungsbezirk",1910,0.4
DEU,DEA5,"Arnsberg, Regierungsbezirk",1910,0.132
DEU,DEB1,Statistische Region Koblenz,1910,0.487
DEU,DEB2,Statistische Region Trier,1910,0.682
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1910,0.373
DEU,DEC0,Saarland,1910,0.197
DEU,DED2,"Dresden, NUTS 2-Region",1910,0.077
DEU,DED4,"Chemnitz, NUTS 2-Region",1910,0.201
DEU,DED5,"Leipzig, NUTS 2-Region",1910,0.126
DEU,DEE0,Sachsen-Anhalt,1910,0.364
DEU,DEF0,Schleswig-Holstein,1910,0.332
DEU,DEG0,Thüringen,1910,0.303
GBR,UKI,London Counties,1910,0.024
GBR,UKH+UKJ,Rest of SouthEast,1910,0.137
GBR,UKK,SouthWest,1910,0.158
GBR,UKG,West Midlands,1910,0.077
GBR,UKF,East  Midlands,1910,0.112
GBR,UKC+UKD,North,1910,0.046
GBR,UKE,Yorks  & Humberside,1910,0.054
GBR,UKL,Wales,1910,0.116
GBR,UKM,Scotland,1910,0.111
GBR,UKN,Northern Ireland,1910,0.328
FRA,FR10,Île de France,1925,0.044
FRA,FR21,Champagne-Ardenne,1925,0.334
FRA,FR22,Picardie,1925,0.309
FRA,FR23,Haute-Normandie,1925,0.253
FRA,FR24,Centre,1925,0.54
FRA,FR25,Basse-Normandie,1925,0.544
FRA,FR26,Bourgogne,1925,0.514
FRA,FR30,Nord - Pas-de-Calais,1925,0.169
FRA,FR41,Lorraine,1925,0.248
FRA,FR42,Alsace,1925,0.319
FRA,FR43,Franche-Comté,1925,0.45
FRA,FR51,Pays de la Loire,1925,0.564
FRA,FR52,Bretagne,1925,0.649
FRA,FR53,Poitou-Charentes,1925,0.637
FRA,FR61,Aquitaine,1925,0.573
FRA,FR62,Midi-Pyrénées,1925,0.63
FRA,FR63,Limousin,1925,0.682
FRA,FR71,Rhône-Alpes,1925,0.397
FRA,FR72,Auvergne,1925,0.605
FRA,FR81,Languedoc-Roussillon,1925,0.526
FRA,FR82,Provence-Alpes-Côte d'Azur,1925,0.227
FRA,FR83,Corse,1925,
DEU,DE11,"Stuttgart, Regierungsbezirk",1925,0.375
DEU,DE12,"Karlsruhe, Regierungsbezirk",1925,0.28
DEU,DE13,"Freiburg, Regierungsbezirk",1925,0.46
DEU,DE14,"Tübingen, Regierungsbezirk",1925,0.507
DEU,DE21,"Oberbayern, Regierungsbezirk",1925,0.33
DEU,DE22,"Niederbayern, Regierungsbezirk",1925,0.662
DEU,DE23,"Oberpfalz, Regierungsbezirk",1925,0.575
DEU,DE24,"Oberfranken, Regierungsbezirk",1925,0.424
DEU,DE25,"Mittelfranken, Regierungsbezirk",1925,0.332
DEU,DE26,"Unterfranken, Regierungsbezirk",1925,0.543
DEU,DE27,"Schwaben, Regierungsbezirk",1925,0.507
DEU,DE30,Berlin,1925,0.009
DEU,DE40,Brandenburg,1925,0.407
DEU,DE50,Bremen,1925,0.038
DEU,DE60,Hamburg,1925,0.022
DEU,DE71+DE72,Darmstadt and Giessen,1925,0.278
DEU,DE73,"Kassel, Regierungsbezirk",1925,0.44
DEU,DE80,Mecklenburg-Vorpommern,1925,0.463
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1925,0.315
DEU,DE93,Statistische Region Lüneburg,1925,0.575
DEU,DE94,Statistische Region Weser-Ems,1925,0.508
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1925,0.078
DEU,DEA2,"Köln, Regierungsbezirk",1925,0.183
DEU,DEA3,"Münster, Regierungsbezirk",1925,0.24
DEU,DEA4,"Detmold, Regierungsbezirk",1925,0.348
DEU,DEA5,"Arnsberg, Regierungsbezirk",1925,0.117
DEU,DEB1,Statistische Region Koblenz,1925,0.469
DEU,DEB2,Statistische Region Trier,1925,0.643
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1925,0.34
DEU,DEC0,Saarland,1925,0.134
DEU,DED2,"Dresden, NUTS 2-Region",1925,0.085
DEU,DED4,"Chemnitz, NUTS 2-Region",1925,0.199
DEU,DED5,"Leipzig, NUTS 2-Region",1925,0.124
DEU,DEE0,Sachsen-Anhalt,1925,0.331
DEU,DEF0,Schleswig-Holstein,1925,0.333
DEU,DEG0,Thüringen,1925,0.297
GBR,UKI,London Counties,1925,0.009
GBR,UKH+UKJ,Rest of SouthEast,1925,0.125
GBR,UKK,SouthWest,1925,0.144
GBR,UKG,West Midlands,1925,0.061
GBR,UKF,East  Midlands,1925,0.098
GBR,UKC+UKD,North,1925,0.04
GBR,UKE,Yorks  & Humberside,1925,0.045
GBR,UKL,Wales,1925,0.103
GBR,UKM,Scotland,1925,0.095
GBR,UKN,Northern Ireland,1925,0.26
FRA,FR10,Île de France,1938,0.028
FRA,FR21,Champagne-Ardenne,1938,0.261
FRA,FR22,Picardie,1938,0.284
FRA,FR23,Haute-Normandie,1938,0.23
FRA,FR24,Centre,1938,0.44
FRA,FR25,Basse-Normandie,1938,0.481
FRA,FR26,Bourgogne,1938,0.373
FRA,FR30,Nord - Pas-de-Calais,1938,0.114
FRA,FR41,Lorraine,1938,0.158
FRA,FR42,Alsace,1938,0.197
FRA,FR43,Franche-Comté,1938,0.355
FRA,FR51,Pays de la Loire,1938,0.465
FRA,FR52,Bretagne,1938,0.544
FRA,FR53,Poitou-Charentes,1938,0.46
FRA,FR61,Aquitaine,1938,0.409
FRA,FR62,Midi-Pyrénées,1938,0.452
FRA,FR63,Limousin,1938,0.516
FRA,FR71,Rhône-Alpes,1938,0.268
FRA,FR72,Auvergne,1938,0.435
FRA,FR81,Languedoc-Roussillon,1938,0.355
FRA,FR82,Provence-Alpes-Côte d'Azur,1938,0.24
FRA,FR83,Corse,1938,
DEU,DE11,"Stuttgart, Regierungsbezirk",1938,0.295
DEU,DE12,"Karlsruhe, Regierungsbezirk",1938,0.23
DEU,DE13,"Freiburg, Regierungsbezirk",1938,0.338
DEU,DE14,"Tübingen, Regierungsbezirk",1938,0.412
DEU,DE21,"Oberbayern, Regierungsbezirk",1938,0.267
DEU,DE22,"Niederbayern, Regierungsbezirk",1938,0.596
DEU,DE23,"Oberpfalz, Regierungsbezirk",1938,0.508
DEU,DE24,"Oberfranken, Regierungsbezirk",1938,0.37
DEU,DE25,"Mittelfranken, Regierungsbezirk",1938,0.272
DEU,DE26,"Unterfranken, Regierungsbezirk",1938,0.472
DEU,DE27,"Schwaben, Regierungsbezirk",1938,0.439
DEU,DE30,Berlin,1938,0.008
DEU,DE40,Brandenburg,1938,0.309
DEU,DE50,Bremen,1938,0.031
DEU,DE60,Hamburg,1938,0.025
DEU,DE71+DE72,Darmstadt and Giessen,1938,0.25
DEU,DE73,"Kassel, Regierungsbezirk",1938,0.405
DEU,DE80,Mecklenburg-Vorpommern,1938,0.396
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1938,0.258
DEU,DE93,Statistische Region Lüneburg,1938,0.503
DEU,DE94,Statistische Region Weser-Ems,1938,0.432
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1938,0.064
DEU,DEA2,"Köln, Regierungsbezirk",1938,0.151
DEU,DEA3,"Münster, Regierungsbezirk",1938,0.222
DEU,DEA4,"Detmold, Regierungsbezirk",1938,0.324
DEU,DEA5,"Arnsberg, Regierungsbezirk",1938,0.107
DEU,DEB1,Statistische Region Koblenz,1938,0.417
DEU,DEB2,Statistische Region Trier,1938,0.586
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1938,0.297
DEU,DEC0,Saarland,1938,0.145
DEU,DED2,"Dresden, NUTS 2-Region",1938,0.075
DEU,DED4,"Chemnitz, NUTS 2-Region",1938,0.148
DEU,DED5,"Leipzig, NUTS 2-Region",1938,0.107
DEU,DEE0,Sachsen-Anhalt,1938,0.279
DEU,DEF0,Schleswig-Holstein,1938,0.293
DEU,DEG0,Thüringen,1938,0.249
GBR,UKI,London Counties,1938,0.009
GBR,UKH+UKJ,Rest of SouthEast,1938,0.07
GBR,UKK,SouthWest,1938,0.105
GBR,UKG,West Midlands,1938,0.047
GBR,UKF,East  Midlands,1938,0.078
GBR,UKC+UKD,North,1938,0.041
GBR,UKE,Yorks  & Humberside,1938,0.045
GBR,UKL,Wales,1938,0.105
GBR,UKM,Scotland,1938,0.082
GBR,UKN,Northern Ireland,1938,0.26
FRA,FR10,Île de France,1950,0.03
FRA,FR21,Champagne-Ardenne,1950,0.291
FRA,FR22,Picardie,1950,0.32
FRA,FR23,Haute-Normandie,1950,0.258
FRA,FR24,Centre,1950,0.46
FRA,FR25,Basse-Normandie,1950,0.502
FRA,FR26,Bourgogne,1950,0.422
FRA,FR30,Nord - Pas-de-Calais,1950,0.148
FRA,FR41,Lorraine,1950,0.075
FRA,FR42,Alsace,1950,0.249
FRA,FR43,Franche-Comté,1950,0.351
FRA,FR51,Pays de la Loire,1950,0.487
FRA,FR52,Bretagne,1950,0.571
FRA,FR53,Poitou-Charentes,1950,0.516
FRA,FR61,Aquitaine,1950,0.493
FRA,FR62,Midi-Pyrénées,1950,0.526
FRA,FR63,Limousin,1950,0.567
FRA,FR71,Rhône-Alpes,1950,0.306
FRA,FR72,Auvergne,1950,0.481
FRA,FR81,Languedoc-Roussillon,1950,0.435
FRA,FR82,Provence-Alpes-Côte d'Azur,1950,0.211
FRA,FR83,Corse,1950,0.505
DEU,DE11,"Stuttgart, Regierungsbezirk",1950,0.219
DEU,DE12,"Karlsruhe, Regierungsbezirk",1950,0.194
DEU,DE13,"Freiburg, Regierungsbezirk",1950,0.34
DEU,DE14,"Tübingen, Regierungsbezirk",1950,0.348
DEU,DE21,"Oberbayern, Regierungsbezirk",1950,0.232
DEU,DE22,"Niederbayern, Regierungsbezirk",1950,0.49
DEU,DE23,"Oberpfalz, Regierungsbezirk",1950,0.404
DEU,DE24,"Oberfranken, Regierungsbezirk",1950,0.275
DEU,DE25,"Mittelfranken, Regierungsbezirk",1950,0.254
DEU,DE26,"Unterfranken, Regierungsbezirk",1950,0.388
DEU,DE27,"Schwaben, Regierungsbezirk",1950,0.342
DEU,DE30,Berlin,1950,0.018
DEU,DE40,Brandenburg,1950,0.341
DEU,DE50,Bremen,1950,0.036
DEU,DE60,Hamburg,1950,0.027
DEU,DE71+DE72,Darmstadt and Giessen,1950,0.202
DEU,DE73,"Kassel, Regierungsbezirk",1950,0.343
DEU,DE80,Mecklenburg-Vorpommern,1950,0.475
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1950,0.221
DEU,DE93,Statistische Region Lüneburg,1950,0.391
DEU,DE94,Statistische Region Weser-Ems,1950,0.373
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1950,0.061
DEU,DEA2,"Köln, Regierungsbezirk",1950,0.136
DEU,DEA3,"Münster, Regierungsbezirk",1950,0.181
DEU,DEA4,"Detmold, Regierungsbezirk",1950,0.223
DEU,DEA5,"Arnsberg, Regierungsbezirk",1950,0.093
DEU,DEB1,Statistische Region Koblenz,1950,0.373
DEU,DEB2,Statistische Region Trier,1950,0.553
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1950,0.298
DEU,DEC0,Saarland,1950,0.15
DEU,DED2,"Dresden, NUTS 2-Region",1950,0.178
DEU,DED4,"Chemnitz, NUTS 2-Region",1950,0.099
DEU,DED5,"Leipzig, NUTS 2-Region",1950,0.159
DEU,DEE0,Sachsen-Anhalt,1950,0.266
DEU,DEF0,Schleswig-Holstein,1950,0.254
DEU,DEG0,Thüringen,1950,0.272
GBR,UKI,London Counties,1950,0.006
GBR,UKH+UKJ,Rest of SouthEast,1950,0.088
GBR,UKK,SouthWest,1950,0.108
GBR,UKG,West Midlands,1950,0.043
GBR,UKF,East  Midlands,1950,0.077
GBR,UKC+UKD,North,1950,0.032
GBR,UKE,Yorks  & Humberside,1950,0.037
GBR,UKL,Wales,1950,0.086
GBR,UKM,Scotland,1950,0.076
GBR,UKN,Northern Ireland,1950,0.178
FRA,FR10,Île de France,1960,0.019
FRA,FR21,Champagne-Ardenne,1960,0.215
FRA,FR22,Picardie,1960,0.224
FRA,FR23,Haute-Normandie,1960,0.178
FRA,FR24,Centre,1960,0.313
FRA,FR25,Basse-Normandie,1960,0.403
FRA,FR26,Bourgogne,1960,0.293
FRA,FR30,Nord - Pas-de-Calais,1960,0.109
FRA,FR41,Lorraine,1960,0.17
FRA,FR42,Alsace,1960,0.163
FRA,FR43,Franche-Comté,1960,0.229
FRA,FR51,Pays de la Loire,1960,0.372
FRA,FR52,Bretagne,1960,0.448
FRA,FR53,Poitou-Charentes,1960,0.393
FRA,FR61,Aquitaine,1960,0.351
FRA,FR62,Midi-Pyrénées,1960,0.383
FRA,FR63,Limousin,1960,0.436
FRA,FR71,Rhône-Alpes,1960,0.19
FRA,FR72,Auvergne,1960,0.354
FRA,FR81,Languedoc-Roussillon,1960,0.316
FRA,FR82,Provence-Alpes-Côte d'Azur,1960,0.139
FRA,FR83,Corse,1960,0.356
DEU,DE11,"Stuttgart, Regierungsbezirk",1960,0.129
DEU,DE12,"Karlsruhe, Regierungsbezirk",1960,0.117
DEU,DE13,"Freiburg, Regierungsbezirk",1960,0.212
DEU,DE14,"Tübingen, Regierungsbezirk",1960,0.213
DEU,DE21,"Oberbayern, Regierungsbezirk",1960,0.145
DEU,DE22,"Niederbayern, Regierungsbezirk",1960,0.394
DEU,DE23,"Oberpfalz, Regierungsbezirk",1960,0.279
DEU,DE24,"Oberfranken, Regierungsbezirk",1960,0.198
DEU,DE25,"Mittelfranken, Regierungsbezirk",1960,0.172
DEU,DE26,"Unterfranken, Regierungsbezirk",1960,0.262
DEU,DE27,"Schwaben, Regierungsbezirk",1960,0.235
DEU,DE30,Berlin,1960,0.009
DEU,DE40,Brandenburg,1960,0.252
DEU,DE50,Bremen,1960,0.019
DEU,DE60,Hamburg,1960,0.015
DEU,DE71+DE72,Darmstadt and Giessen,1960,0.104
DEU,DE73,"Kassel, Regierungsbezirk",1960,0.232
DEU,DE80,Mecklenburg-Vorpommern,1960,0.346
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1960,0.128
DEU,DE93,Statistische Region Lüneburg,1960,0.263
DEU,DE94,Statistische Region Weser-Ems,1960,0.257
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1960,0.03
DEU,DEA2,"Köln, Regierungsbezirk",1960,0.063
DEU,DEA3,"Münster, Regierungsbezirk",1960,0.107
DEU,DEA4,"Detmold, Regierungsbezirk",1960,0.147
DEU,DEA5,"Arnsberg, Regierungsbezirk",1960,0.053
DEU,DEB1,Statistische Region Koblenz,1960,0.222
DEU,DEB2,Statistische Region Trier,1960,0.384
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1960,0.17
DEU,DEC0,Saarland,1960,0.084
DEU,DED2,"Dresden, NUTS 2-Region",1960,0.116
DEU,DED4,"Chemnitz, NUTS 2-Region",1960,0.083
DEU,DED5,"Leipzig, NUTS 2-Region",1960,0.123
DEU,DEE0,Sachsen-Anhalt,1960,0.199
DEU,DEF0,Schleswig-Holstein,1960,0.161
DEU,DEG0,Thüringen,1960,0.188
GBR,UKI,London Counties,1960,0.004
GBR,UKH+UKJ,Rest of SouthEast,1960,0.058
GBR,UKK,SouthWest,1960,0.079
GBR,UKG,West Midlands,1960,0.03
GBR,UKF,East  Midlands,1960,0.052
GBR,UKC+UKD,North,1960,0.024
GBR,UKE,Yorks  & Humberside,1960,0.029
GBR,UKL,Wales,1960,0.061
GBR,UKM,Scotland,1960,0.06
GBR,UKN,Northern Ireland,1960,0.133
FRA,FR10,Île de France,1970,0.012
FRA,FR21,Champagne-Ardenne,1970,0.15
FRA,FR22,Picardie,1970,0.145
FRA,FR23,Haute-Normandie,1970,0.113
FRA,FR24,Centre,1970,0.191
FRA,FR25,Basse-Normandie,1970,0.297
FRA,FR26,Bourgogne,1970,0.185
FRA,FR30,Nord - Pas-de-Calais,1970,0.075
FRA,FR41,Lorraine,1970,0.299
FRA,FR42,Alsace,1970,0.09
FRA,FR43,Franche-Comté,1970,0.134
FRA,FR51,Pays de la Loire,1970,0.256
FRA,FR52,Bretagne,1970,0.316
FRA,FR53,Poitou-Charentes,1970,0.27
FRA,FR61,Aquitaine,1970,0.228
FRA,FR62,Midi-Pyrénées,1970,0.252
FRA,FR63,Limousin,1970,0.301
FRA,FR71,Rhône-Alpes,1970,0.108
FRA,FR72,Auvergne,1970,0.237
FRA,FR81,Languedoc-Roussillon,1970,0.214
FRA,FR82,Provence-Alpes-Côte d'Azur,1970,0.088
FRA,FR83,Corse,1970,0.245
DEU,DE11,"Stuttgart, Regierungsbezirk",1970,0.067
DEU,DE12,"Karlsruhe, Regierungsbezirk",1970,0.044
DEU,DE13,"Freiburg, Regierungsbezirk",1970,0.107
DEU,DE14,"Tübingen, Regierungsbezirk",1970,0.115
DEU,DE21,"Oberbayern, Regierungsbezirk",1970,0.085
DEU,DE22,"Niederbayern, Regierungsbezirk",1970,0.26
DEU,DE23,"Oberpfalz, Regierungsbezirk",1970,0.172
DEU,DE24,"Oberfranken, Regierungsbezirk",1970,0.126
DEU,DE25,"Mittelfranken, Regierungsbezirk",1970,0.115
DEU,DE26,"Unterfranken, Regierungsbezirk",1970,0.135
DEU,DE27,"Schwaben, Regierungsbezirk",1970,0.154
DEU,DE30,Berlin,1970,0.008
DEU,DE40,Brandenburg,1970,0.185
DEU,DE50,Bremen,1970,0.016
DEU,DE60,Hamburg,1970,0.012
DEU,DE71+DE72,Darmstadt and Giessen,1970,0.045
DEU,DE73,"Kassel, Regierungsbezirk",1970,0.122
DEU,DE80,Mecklenburg-Vorpommern,1970,0.249
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1970,0.07
DEU,DE93,Statistische Region Lüneburg,1970,0.148
DEU,DE94,Statistische Region Weser-Ems,1970,0.144
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1970,0.02
DEU,DEA2,"Köln, Regierungsbezirk",1970,0.031
DEU,DEA3,"Münster, Regierungsbezirk",1970,0.063
DEU,DEA4,"Detmold, Regierungsbezirk",1970,0.072
DEU,DEA5,"Arnsberg, Regierungsbezirk",1970,0.025
DEU,DEB1,Statistische Region Koblenz,1970,0.098
DEU,DEB2,Statistische Region Trier,1970,0.223
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1970,0.085
DEU,DEC0,Saarland,1970,0.024
DEU,DED2,"Dresden, NUTS 2-Region",1970,0.095
DEU,DED4,"Chemnitz, NUTS 2-Region",1970,0.066
DEU,DED5,"Leipzig, NUTS 2-Region",1970,0.093
DEU,DEE0,Sachsen-Anhalt,1970,0.145
DEU,DEF0,Schleswig-Holstein,1970,0.094
DEU,DEG0,Thüringen,1970,0.132
GBR,UKI,London Counties,1970,0.001
GBR,UKH+UKJ,Rest of SouthEast,1970,0.04
GBR,UKK,SouthWest,1970,0.056
GBR,UKG,West Midlands,1970,0.023
GBR,UKF,East  Midlands,1970,0.039
GBR,UKC+UKD,North,1970,0.019
GBR,UKE,Yorks  & Humberside,1970,0.02
GBR,UKL,Wales,1970,0.046
GBR,UKM,Scotland,1970,0.042
GBR,UKN,Northern Ireland,1970,0.083
FRA,FR10,Île de France,1980,0.007
FRA,FR21,Champagne-Ardenne,1980,0.112
FRA,FR22,Picardie,1980,0.096
FRA,FR23,Haute-Normandie,1980,0.069
FRA,FR24,Centre,1980,0.116
FRA,FR25,Basse-Normandie,1980,0.192
FRA,FR26,Bourgogne,1980,0.119
FRA,FR30,Nord - Pas-de-Calais,1980,0.052
FRA,FR41,Lorraine,1980,0.292
FRA,FR42,Alsace,1980,0.046
FRA,FR43,Franche-Comté,1980,0.086
FRA,FR51,Pays de la Loire,1980,0.158
FRA,FR52,Bretagne,1980,0.193
FRA,FR53,Poitou-Charentes,1980,0.174
FRA,FR61,Aquitaine,1980,0.147
FRA,FR62,Midi-Pyrénées,1980,0.164
FRA,FR63,Limousin,1980,0.191
FRA,FR71,Rhône-Alpes,1980,0.065
FRA,FR72,Auvergne,1980,0.155
FRA,FR81,Languedoc-Roussillon,1980,0.138
FRA,FR82,Provence-Alpes-Côte d'Azur,1980,0.057
FRA,FR83,Corse,1980,0.156
DEU,DE11,"Stuttgart, Regierungsbezirk",1980,0.042
DEU,DE12,"Karlsruhe, Regierungsbezirk",1980,0.033
DEU,DE13,"Freiburg, Regierungsbezirk",1980,0.076
DEU,DE14,"Tübingen, Regierungsbezirk",1980,0.079
DEU,DE21,"Oberbayern, Regierungsbezirk",1980,0.06
DEU,DE22,"Niederbayern, Regierungsbezirk",1980,0.178
DEU,DE23,"Oberpfalz, Regierungsbezirk",1980,0.121
DEU,DE24,"Oberfranken, Regierungsbezirk",1980,0.088
DEU,DE25,"Mittelfranken, Regierungsbezirk",1980,0.066
DEU,DE26,"Unterfranken, Regierungsbezirk",1980,0.097
DEU,DE27,"Schwaben, Regierungsbezirk",1980,0.106
DEU,DE30,Berlin,1980,0.004
DEU,DE40,Brandenburg,1980,0.145
DEU,DE50,Bremen,1980,0.005
DEU,DE60,Hamburg,1980,0.009
DEU,DE71+DE72,Darmstadt and Giessen,1980,0.032
DEU,DE73,"Kassel, Regierungsbezirk",1980,0.085
DEU,DE80,Mecklenburg-Vorpommern,1980,0.199
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1980,0.051
DEU,DE93,Statistische Region Lüneburg,1980,0.126
DEU,DE94,Statistische Region Weser-Ems,1980,0.109
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1980,0.013
DEU,DEA2,"Köln, Regierungsbezirk",1980,0.018
DEU,DEA3,"Münster, Regierungsbezirk",1980,0.045
